timestamp,src_ip,dst_ip,protocol,tcp_flags,attack
1739085571.333729000,18.214.171.0,192.168.0.243,6,0x0018,0
1739085571.333898000,18.214.171.0,192.168.0.243,6,0x0018,0
1739085571.333923000,192.168.0.243,18.214.171.0,6,0x0010,0
1739085571.334113000,192.168.0.243,18.214.171.0,6,0x0018,0
1739085571.334362000,192.168.0.243,18.214.171.0,6,0x0014,0
1739085571.335869000,18.214.171.0,192.168.0.243,6,0x0011,0
1739085571.439650000,18.214.171.0,192.168.0.243,6,0x0010,0
1739085571.440739000,18.214.171.0,192.168.0.243,6,0x0004,0
1739085572.152666000,192.168.0.143,224.0.0.251,17,0x0000,0
1739085572.152709000,192.168.0.143,192.168.0.255,17,0x0000,0
1739085572.167196000,192.168.0.143,224.0.0.251,17,0x0000,0
1739085572.167259000,192.168.0.143,192.168.0.255,17,0x0000,0
1739085572.608167000,192.168.0.243,192.168.0.245,6,0x0018,0
1739085572.608258000,192.168.0.243,192.168.0.245,6,0x0018,0
1739085572.611758000,192.168.0.245,192.168.0.243,6,0x0018,0
1739085572.611758000,192.168.0.245,192.168.0.243,6,0x0018,0
1739085572.653381000,192.168.0.243,192.168.0.245,6,0x0010,0
1739085572.653423000,192.168.0.243,192.168.0.245,6,0x0010,0
1739085573.240099000,192.168.0.205,224.0.0.251,17,0x0000,0
1739085574.232320000,192.168.0.205,224.0.0.251,17,0x0000,0
1739085574.855154000,192.168.0.143,239.255.255.250,17,0x0000,0
1739085574.855154000,192.168.0.143,192.168.0.255,17,0x0000,0
1739085574.866451000,192.168.0.143,239.255.255.250,17,0x0000,0
1739085574.866451000,192.168.0.143,192.168.0.255,17,0x0000,0
1739085574.877476000,192.168.0.143,239.255.255.250,17,0x0000,0
1739085574.877476000,192.168.0.143,192.168.0.255,17,0x0000,0
1739085574.888335000,192.168.0.143,239.255.255.250,17,0x0000,0
1739085574.888335000,192.168.0.143,192.168.0.255,17,0x0000,0
1739085574.898949000,192.168.0.143,239.255.255.250,17,0x0000,0
1739085574.898949000,192.168.0.143,192.168.0.255,17,0x0000,0
1739085574.910849000,192.168.0.143,239.255.255.250,17,0x0000,0
1739085574.910849000,192.168.0.143,192.168.0.255,17,0x0000,0
1739085574.921505000,192.168.0.143,239.255.255.250,17,0x0000,0
1739085574.921505000,192.168.0.143,192.168.0.255,17,0x0000,0
1739085574.935311000,192.168.0.143,239.255.255.250,17,0x0000,0
1739085574.935311000,192.168.0.143,192.168.0.255,17,0x0000,0
1739085574.957774000,192.168.0.143,239.255.255.250,17,0x0000,0
1739085574.957774000,192.168.0.143,192.168.0.255,17,0x0000,0
1739085574.958998000,192.168.0.143,239.255.255.250,17,0x0000,0
1739085574.958998000,192.168.0.143,192.168.0.255,17,0x0000,0
1739085574.971115000,192.168.0.143,239.255.255.250,17,0x0000,0
1739085574.971115000,192.168.0.143,192.168.0.255,17,0x0000,0
1739085574.982698000,192.168.0.143,239.255.255.250,17,0x0000,0
1739085574.982698000,192.168.0.143,192.168.0.255,17,0x0000,0
1739085575.017361000,192.168.0.243,142.250.178.14,17,0x0000,0
1739085575.017417000,192.168.0.243,142.250.178.14,17,0x0000,0
1739085575.034495000,142.250.178.14,192.168.0.243,17,0x0000,0
1739085575.060550000,192.168.0.243,142.250.178.14,17,0x0000,0
1739085575.076166000,142.250.178.14,192.168.0.243,17,0x0000,0
1739085575.076166000,142.250.178.14,192.168.0.243,17,0x0000,0
1739085575.076166000,142.250.178.14,192.168.0.243,17,0x0000,0
1739085575.076371000,192.168.0.243,142.250.178.14,17,0x0000,0
1739085575.106485000,192.168.0.243,142.250.178.14,17,0x0000,0
1739085575.119754000,142.250.178.14,192.168.0.243,17,0x0000,0
1739085575.153831000,192.168.0.143,224.0.0.251,17,0x0000,0
1739085575.153886000,192.168.0.143,192.168.0.255,17,0x0000,0
1739085575.164883000,192.168.0.143,224.0.0.251,17,0x0000,0
1739085575.164943000,192.168.0.143,192.168.0.255,17,0x0000,0
1739085575.876266000,192.168.0.243,54.230.10.84,6,0x0010,0
1739085575.888420000,54.230.10.84,192.168.0.243,6,0x0010,0
1739085576.860187000,192.168.0.243,142.250.110.188,6,0x0010,0
1739085576.881886000,142.250.110.188,192.168.0.243,6,0x0010,0
1739085577.243036000,192.168.0.205,224.0.0.251,17,0x0000,0
1739085577.613619000,192.168.0.243,192.168.0.245,6,0x0018,0
1739085577.613696000,192.168.0.243,192.168.0.245,6,0x0018,0
1739085577.617436000,192.168.0.245,192.168.0.243,6,0x0018,0
1739085577.617436000,192.168.0.245,192.168.0.243,6,0x0018,0
1739085577.659573000,192.168.0.243,192.168.0.245,6,0x0010,0
1739085577.659621000,192.168.0.243,192.168.0.245,6,0x0010,0
1739085578.153958000,192.168.0.143,224.0.0.251,17,0x0000,0
1739085578.154007000,192.168.0.143,192.168.0.255,17,0x0000,0
1739085578.166562000,192.168.0.143,224.0.0.251,17,0x0000,0
1739085578.166621000,192.168.0.143,192.168.0.255,17,0x0000,0
